id,name,value,session_id,data_set_id
589,postcode,2264,i1556,
590,timeTaken,42.65722609,i1556,
591,buttonPressed,submit,i1557,
592,email_address,,i1557,
593,isTimeout,0,i1557,
594,postcode,4344,i1557,
595,timeTaken,18.43702888,i1557,
596,buttonPressed,submit,i1560,
597,email_address,,i1560,
598,isTimeout,0,i1560,
599,postcode,,i1560,
600,timeTaken,31.81269693,i1560,
601,buttonPressed,submit,i1558,
602,email_address,,i1558,
603,isTimeout,0,i1558,
604,postcode,4344,i1558,
605,timeTaken,41.0497489,i1558,
606,buttonPressed,submit,i1561,
607,email_address,,i1561,
608,isTimeout,0,i1561,
609,postcode,3028,i1561,
610,timeTaken,29.84834099,i1561,
611,buttonPressed,submit,i1582,
612,email_address,,i1582,
613,isTimeout,0,i1582,
614,postcode,,i1582,
615,timeTaken,20.47315216,i1582,
616,buttonPressed,submit,i1574,
617,email_address,,i1574,
618,isTimeout,0,i1574,
619,postcode,,i1574,
620,timeTaken,24.09472394,i1574,
621,buttonPressed,submit,i1579,
622,email_address,,i1579,
623,isTimeout,0,i1579,
624,postcode,,i1579,
625,timeTaken,10.84963799,i1579,
626,buttonPressed,submit,i1594,
627,email_address,,i1594,
628,isTimeout,0,i1594,
629,postcode,,i1594,
630,timeTaken,9.932541132,i1594,
631,buttonPressed,submit,i1601,
632,email_address,,i1601,
633,isTimeout,0,i1601,
634,postcode,,i1601,
635,timeTaken,10.70767403,i1601,
636,buttonPressed,submit,i1586,
637,email_address,,i1586,
638,isTimeout,0,i1586,
639,postcode,,i1586,
640,timeTaken,13.99486804,i1586,
641,buttonPressed,submit,i1598,
642,email_address,,i1598,
643,isTimeout,0,i1598,
644,postcode,3149,i1598,
645,timeTaken,11.60498023,i1598,
646,buttonPressed,submit,i1599,
647,email_address,,i1599,
648,isTimeout,0,i1599,
649,postcode,4570,i1599,
650,timeTaken,23.48325396,i1599,
651,buttonPressed,submit,i1609,
652,email_address,,i1609,
653,isTimeout,0,i1609,
654,postcode,2663,i1609,
655,timeTaken,28.10547709,i1609,
656,buttonPressed,submit,i1612,
657,email_address,,i1612,
658,isTimeout,0,i1612,
659,postcode,2663,i1612,
660,timeTaken,12.096421,i1612,
661,buttonPressed,submit,i1620,
662,email_address,,i1620,
663,isTimeout,0,i1620,
664,postcode,2324,i1620,
665,timeTaken,17.51757503,i1620,
666,buttonPressed,submit,i1622,
667,email_address,,i1622,
668,isTimeout,0,i1622,
669,postcode,,i1622,
670,timeTaken,7.626391172,i1622,
671,buttonPressed,submit,i1621,
672,email_address,,i1621,
673,isTimeout,0,i1621,
674,postcode,3737,i1621,
675,timeTaken,19.129673,i1621,
676,buttonPressed,submit,i1613,
677,email_address,,i1613,
678,isTimeout,0,i1613,
679,postcode,3040,i1613,
680,timeTaken,26.05917096,i1613,
681,buttonPressed,submit,i1607,
682,email_address,,i1607,
683,isTimeout,0,i1607,
684,postcode,4868,i1607,
685,timeTaken,26.76643515,i1607,
686,buttonPressed,submit,i1630,
687,email_address,,i1630,
688,isTimeout,0,i1630,
689,postcode,2663,i1630,
690,timeTaken,15.38309813,i1630,
691,buttonPressed,submit,i1634,
692,email_address,,i1634,
693,isTimeout,0,i1634,
694,postcode,2077,i1634,
695,timeTaken,19.94594097,i1634,
696,buttonPressed,submit,i1635,
697,email_address,,i1635,
698,isTimeout,0,i1635,
699,postcode,3737,i1635,
700,timeTaken,34.98371792,i1635,
701,buttonPressed,submit,i1636,
702,email_address,,i1636,
703,isTimeout,0,i1636,
704,postcode,2663,i1636,
705,timeTaken,15.37866592,i1636,
706,buttonPressed,submit,i1639,
707,email_address,,i1639,
708,isTimeout,0,i1639,
709,postcode,,i1639,
710,timeTaken,13.46894598,i1639,
711,buttonPressed,submit,i1627,
712,email_address,,i1627,
713,isTimeout,0,i1627,
714,postcode,800,i1627,
715,timeTaken,16.75292587,i1627,
716,buttonPressed,submit,i1648,
717,email_address,,i1648,
718,isTimeout,0,i1648,
719,postcode,,i1648,
720,timeTaken,9.292565823,i1648,
721,buttonPressed,submit,i1652,
722,email_address,,i1652,
723,isTimeout,0,i1652,
724,postcode,,i1652,
725,timeTaken,12.31582499,i1652,
726,buttonPressed,submit,i1646,
727,email_address,,i1646,
728,isTimeout,0,i1646,
729,postcode,,i1646,
730,timeTaken,8.751625061,i1646,
731,buttonPressed,submit,i1655,
732,email_address,,i1655,
733,isTimeout,0,i1655,
734,postcode,,i1655,
735,timeTaken,32.54545212,i1655,
736,buttonPressed,submit,i1663,
737,email_address,,i1663,
738,isTimeout,0,i1663,
739,postcode,,i1663,
740,timeTaken,12.810184,i1663,
741,buttonPressed,submit,i1650,
742,email_address,,i1650,
743,isTimeout,0,i1650,
744,postcode,3078,i1650,
745,timeTaken,43.84067702,i1650,
746,buttonPressed,submit,i1668,
747,email_address,,i1668,
748,isTimeout,0,i1668,
749,postcode,3447,i1668,
750,timeTaken,54.44141102,i1668,
751,buttonPressed,submit,i1654,
752,email_address,,i1654,
753,isTimeout,0,i1654,
754,postcode,4305,i1654,
755,timeTaken,34.79309797,i1654,
756,buttonPressed,submit,i1657,
757,email_address,,i1657,
758,isTimeout,0,i1657,
759,postcode,,i1657,
760,timeTaken,23.08519602,i1657,
761,buttonPressed,submit,i1682,
762,email_address,,i1682,
763,isTimeout,0,i1682,
764,postcode,2541,i1682,
765,timeTaken,23.72116804,i1682,
766,buttonPressed,submit,i1692,
767,email_address,,i1692,
768,isTimeout,0,i1692,
769,postcode,4817,i1692,
770,timeTaken,39.81685114,i1692,
771,buttonPressed,submit,i1690,
772,email_address,,i1690,
773,isTimeout,0,i1690,
774,postcode,,i1690,
775,timeTaken,8.259824038,i1690,
776,buttonPressed,submit,i1714,
777,email_address,,i1714,
778,isTimeout,0,i1714,
779,postcode,6239,i1714,
780,timeTaken,10.48067021,i1714,
781,buttonPressed,submit,i1728,
782,email_address,,i1728,
783,isTimeout,0,i1728,
784,postcode,,i1728,
785,timeTaken,11.64456105,i1728,
786,buttonPressed,submit,i1703,
787,email_address,,i1703,
788,isTimeout,0,i1703,
789,postcode,,i1703,
790,timeTaken,4.007457018,i1703,
791,buttonPressed,submit,i1733,
792,email_address,,i1733,
793,isTimeout,0,i1733,
794,postcode,4670,i1733,
795,timeTaken,9.240077972,i1733,
796,buttonPressed,submit,i1747,
797,email_address,,i1747,
798,isTimeout,0,i1747,
799,postcode,,i1747,
800,timeTaken,4.605633974,i1747,
801,buttonPressed,submit,i1758,
802,email_address,,i1758,
803,isTimeout,0,i1758,
804,postcode,3561,i1758,
805,timeTaken,68.79502511,i1758,
806,buttonPressed,submit,i1730,
807,email_address,,i1730,
808,isTimeout,0,i1730,
809,postcode,,i1730,
810,timeTaken,23.93921614,i1730,
811,buttonPressed,submit,i1740,
812,email_address,,i1740,
813,isTimeout,0,i1740,
814,postcode,,i1740,
815,timeTaken,6.561594963,i1740,
816,buttonPressed,submit,i1774,
817,email_address,,i1774,
818,isTimeout,0,i1774,
819,postcode,,i1774,
820,timeTaken,21.01461291,i1774,
821,buttonPressed,submit,i1780,
822,email_address,,i1780,
823,isTimeout,0,i1780,
824,postcode,,i1780,
825,timeTaken,9.45022583,i1780,
826,buttonPressed,submit,i1745,
827,email_address,,i1745,
828,isTimeout,0,i1745,
829,postcode,,i1745,
830,timeTaken,8.659578085,i1745,
831,buttonPressed,submit,i1777,
832,email_address,,i1777,
833,isTimeout,0,i1777,
834,postcode,,i1777,
835,timeTaken,17.875844,i1777,
836,buttonPressed,submit,i1796,
837,email_address,,i1796,
838,isTimeout,0,i1796,
839,postcode,2753,i1796,
840,timeTaken,23.73887396,i1796,
841,buttonPressed,submit,i1797,
842,email_address,,i1797,
843,isTimeout,0,i1797,
844,postcode,,i1797,
845,timeTaken,9.618909836,i1797,
846,buttonPressed,submit,i1781,
847,email_address,,i1781,
848,isTimeout,0,i1781,
849,postcode,,i1781,
850,timeTaken,12.52455807,i1781,
851,buttonPressed,submit,i1788,
852,email_address,,i1788,
853,isTimeout,0,i1788,
854,postcode,,i1788,
855,timeTaken,28.45655394,i1788,
856,buttonPressed,submit,i1803,
857,email_address,,i1803,
858,isTimeout,0,i1803,
859,postcode,5374,i1803,
860,timeTaken,9.672879934,i1803,
861,buttonPressed,submit,i1805,
862,email_address,,i1805,
863,isTimeout,0,i1805,
864,postcode,4300,i1805,
865,timeTaken,25.86008811,i1805,
866,buttonPressed,submit,i1828,
867,email_address,,i1828,
868,isTimeout,0,i1828,
869,postcode,,i1828,
870,timeTaken,79.39559793,i1828,
871,buttonPressed,submit,i1835,
872,email_address,,i1835,
873,isTimeout,0,i1835,
874,postcode,4670,i1835,
875,timeTaken,8.269053936,i1835,
876,buttonPressed,submit,i1838,
877,email_address,,i1838,
878,isTimeout,0,i1838,
879,postcode,,i1838,
880,timeTaken,10.41789603,i1838,
881,buttonPressed,submit,i1840,
882,email_address,,i1840,
883,isTimeout,0,i1840,
884,postcode,,i1840,
885,timeTaken,33.84155416,i1840,
886,buttonPressed,submit,i1850,
887,email_address,,i1850,
888,isTimeout,0,i1850,
889,postcode,,i1850,
890,timeTaken,9.036283016,i1850,
891,buttonPressed,submit,i1857,
892,email_address,,i1857,
893,isTimeout,0,i1857,
894,postcode,,i1857,
895,timeTaken,10.1176939,i1857,
896,buttonPressed,submit,i1826,
897,email_address,,i1826,
898,isTimeout,0,i1826,
899,postcode,,i1826,
