id,age,gender,nationality,device,colour,number,animal,userid,lastletter,firstletter,session
719,63,m,nz,pc,navy,17,b,63mnzpcnavy17bHc,H,c,
720,64,m,au,ipad,blue,37,d,64mauipadblue37dEP,E,P,
721,51,f,au,pixel,blue,77,d,51faupixelblue77dNC,N,C,
722,60,f,au,galaxy,blue,13,b,60faugalaxyblue13bSF,S,F,
723,74,m,au,galaxy,yellow,45,d,74maugalaxyyellow45dNN,N,N,
724,61,f,au,ipad,blue,7,d,61fauipadblue7dDE,D,E,
725,60,m,au,iphone,black,73,n,60mauiphoneblack73nNP,N,P,
726,57,f,au,otherphone,red,19,d,57fauotherphonered19dYC,Y,C,
727,59,f,au,ipad,red,42,c,59fauipadred42cLC,L,C,
728,62,f,au,ipad,fuchsia,12,b,62fauipadfuchsia12bEF,E,F,
729,62,f,au,iphone,teal,58,n,62fauiphoneteal58nNC,N,C,
730,52,m,au,pc,green,25,d,52maupcgreen25dTR,T,R,
731,63,m,au,galaxy,green,7,d,63maugalaxygreen7dLB,L,B,
732,64,f,au,ipad,fuchsia,55,c,64fauipadfuchsia55cFR,F,R,
733,60,f,au,ipad,maroon,13,d,60fauipadmaroon13dTC,T,C,
734,57,f,au,otherphone,red,19,d,57fauotherphonered19dYC,Y,C,
735,62,f,au,galaxy,blue,12,n,62faugalaxyblue12nKF,K,F,
736,62,f,au,galaxy,blue,12,n,62faugalaxyblue12nKF,K,F,
737,65,f,au,ipad,blue,13,d,65fauipadblue13dNP,N,P,
738,50,f,au,ipad,purple,74,d,50fauipadpurple74dZC,Z,C,
739,67,m,au,pc,green,52,b,67maupcgreen52byM,y,M,
740,49,f,au,ipad,purple,1,d,49fauipadpurple1dWC,W,C,
741,67,m,au,pc,green,52,b,67maupcgreen52byM,y,M,
742,40,f,au,pnts,blue,13,b,40faupntsblue13bMP,M,P,
743,62,o,nz,ipad,black,57,d,62onzipadblack57dNS,N,S,
744,61,m,au,pc,green,7,d,61maupcgreen7dEM,E,M,
745,61,m,au,pc,green,7,d,61maupcgreen7dEM,E,M,
746,67,f,au,otherphone,green,31,d,67fauotherphonegreen31dIA,I,A,
747,67,f,au,otherphone,green,31,d,67fauotherphonegreen31dIV,I,V,
748,22,f,au,otherphone,blue,19,n,22fauotherphoneblue19nNP,N,P,
749,31,m,au,laptop,,0,,31maulaptop,,,
750,59,f,au,galaxy,,0,,59faugalaxy,,,
751,61,f,eu,laptop,purple,11,c,61feulaptoppurple11cgf,g,f,
752,65,m,au,laptop,,0,,65maulaptop,,,
753,40,m,au,laptop,,0,,40maulaptop,,,
754,19,m,au,ipad,,0,,19mauipad,,,
755,24,f,au,ipad,,0,,24fauipad,,,
756,27,f,au,galaxy,,0,,27faugalaxy,,,
757,35,m,au,otherphone,,0,,35mauotherphone,,,
758,20,f,au,galaxy,,0,,20faugalaxy,,,
759,20,o,au,otherphone,,0,,20oauotherphone,,,
760,20,m,au,otherphone,,0,,20mauotherphone,,,
761,20,m,au,otherphone,,0,,20mauotherphone,,,
762,47,f,au,iphone,,0,,47fauiphone,,,
763,18,m,au,laptop,,0,,18maulaptop,,,
764,35,m,au,otherphone,,0,,35mauotherphone,,,
765,38,o,au,otherphone,,0,,38oauotherphone,,,
766,24,m,au,pc,,0,,24maupc,,,
767,23,f,au,iphone,,0,,23fauiphone,,,
768,34,m,au,iphone,,0,,34mauiphone,,,
769,18,m,au,otherphone,,0,,18mauotherphone,,,
770,34,m,na,otherphone,,0,,34mnaotherphone,,,
771,19,m,au,otherphone,,0,,19mauotherphone,,,
772,18,m,au,iphone,,0,,18mauiphone,,,
773,19,m,au,otherphone,,0,,19mauotherphone,,,
774,28,m,au,pc,,0,,28maupc,,,
775,18,m,au,iphone,,0,,18mauiphone,,,
776,18,m,au,galaxy,,0,,18maugalaxy,,,
777,25,m,au,galaxy,,0,,25maugalaxy,,,
778,33,m,au,iphone,,0,,33mauiphone,,,
779,22,f,au,iphone,,0,,22fauiphone,,,
780,30,m,au,pc,,0,,30maupc,,,
781,31,f,au,galaxy,,0,,31faugalaxy,,,
782,19,m,au,otherphone,,0,,19mauotherphone,,,
783,23,f,au,iphone,,0,,23fauiphone,,,
784,20,m,nz,galaxy,,0,,20mnzgalaxy,,,
785,46,m,au,pc,,0,,46maupc,,,
786,18,,,,,0,,18,,,
787,30,f,au,ipad,,0,,30fauipad,,,
788,24,m,au,pnts,,0,,24maupnts,,,
789,38,f,au,iphone,,0,,38fauiphone,,,
790,38,f,au,iphone,,0,,38fauiphone,,,
791,27,m,au,iphone,,0,,27mauiphone,,,
792,33,o,au,iphone,,0,,33oauiphone,,,
793,30,m,au,galaxy,,0,,30maugalaxy,,,
794,34,f,au,ipad,,0,,34fauipad,,,
795,34,f,au,ipad,,0,,34fauipad,,,
796,70,m,eu,pc,,0,,70meupc,,,
797,21,m,au,pixel,,0,,21maupixel,,,
798,39,f,au,galaxy,,0,,39faugalaxy,,,
799,70,f,au,laptop,,0,,70faulaptop,,,
800,25,f,au,iphone,,0,,25fauiphone,,,
801,38,f,au,iphone,,0,,38fauiphone,,,
802,18,m,au,pc,,0,,18maupc,,,
803,27,m,au,galaxy,,0,,27maugalaxy,,,
804,48,f,au,ipad,,0,,48fauipad,,,
805,39,f,au,ipad,,0,,39fauipad,,,
806,23,m,au,iphone,,0,,23mauiphone,,,
807,24,f,au,galaxy,,0,,24faugalaxy,,,
808,33,f,au,pnts,,0,,33faupnts,,,
809,23,m,au,surface,,0,,23mausurface,,,
810,40,m,au,otherphone,,0,,40mauotherphone,,,
811,25,m,au,galaxy,,0,,25maugalaxy,,,
812,19,f,au,iphone,,0,,19fauiphone,,,
813,50,m,au,laptop,,0,,50maulaptop,,,
814,22,m,eu,pc,,0,,22meupc,,,
815,21,m,au,iphone,,0,,21mauiphone,,,
816,31,m,au,iphone,,0,,31mauiphone,,,
817,46,f,au,laptop,,0,,46faulaptop,,,
818,18,m,au,iphone,,0,,18mauiphone,,,
819,22,o,au,otherphone,,0,,22oauotherphone,,,
820,18,f,au,otherphone,,0,,18fauotherphone,,,
821,37,f,au,galaxy,,0,,37faugalaxy,,,
822,33,f,au,iphone,,0,,33fauiphone,,,
823,31,m,au,pc,,0,,31maupc,,,
824,40,m,as,otherphone,,0,,40masotherphone,,,
825,18,m,au,laptop,,0,,18maulaptop,,,
826,38,m,au,iphone,,0,,38mauiphone,,,
827,22,m,au,iphone,,0,,22mauiphone,,,
828,18,m,as,galaxy,,0,,18masgalaxy,,,
829,26,f,au,otherphone,,0,,26fauotherphone,,,
830,60,pnts,pnts,pnts,,0,,60pntspntspnts,,,
831,28,m,au,otherphone,,0,,28mauotherphone,,,
832,40,f,au,ipad,,0,,40fauipad,,,
833,25,o,au,otherphone,,0,,25oauotherphone,,,
834,39,m,au,pc,,0,,39maupc,,,
835,26,f,au,otherphone,,0,,26fauotherphone,,,
836,34,m,au,otherphone,,0,,34mauotherphone,,,
837,33,pnts,au,iphone,,0,,33pntsauiphone,,,
